draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1111766493164949505,3,,144,861798755085692928,8314,,9,12,1,Jalen,,Pitre,1724005236904,5,8314,DB,3,nfl,Active,HOU,,,2
1111766493164949505,8,,145,595464158774878208,4981,,7,13,14,Calvin,,Ridley,1724689841699,0,4981,WR,8,nfl,Active,TEN,,,6
1111766493164949505,5,,146,862559746694205440,3172,,3,13,1,DeForest,,Buckner,1723217443151,99,3172,DL,5,nfl,Active,IND,,,8
1111766493164949505,8,,147,595464158774878208,8311,,7,13,2,Terrel,,Bernard,1713462024985,43,8311,LB,8,nfl,Active,BUF,,,2
1111766493164949505,9,,148,862499213718704128,1875,,11,13,2,C.J.,,Mosley,1710430803789,57,1875,LB,9,nfl,Active,NYJ,,,10
1111766493164949505,9,,149,862499213718704128,8121,,11,13,1,Romeo,,Doubs,1722451215967,87,8121,WR,9,nfl,Active,GB,,,2
1111766493164949505,10,,150,561715408029736960,9753,,10,13,1,Zach,Questionable,Charbonnet,1724195727210,26,9753,RB,10,nfl,Active,SEA,,,1
1111766493164949505,4,,151,1130644355074629632,6214,,5,13,2,Quincy,,Williams,1705274747212,56,6214,LB,4,nfl,Active,NYJ,,,5
1111766493164949505,5,,152,862559746694205440,11086,,3,13,2,Ivan,,Pace,1705259444759,0,11086,LB,5,nfl,Active,MIN,,,1
1111766493164949505,1,,153,578293895956312064,5862,,2,13,1,Brian,,Burns,1724112619768,0,5862,DL,1,nfl,Active,NYG,,,5
1111766493164949505,2,,154,594730254984077312,11564,,4,13,1,Drake,,Maye,1724936411382,10,11564,QB,2,nfl,Active,NE,,,0
1111766493164949505,3,,155,861798755085692928,7811,,9,13,1,Talanoa,Questionable,Hufanga,1724811060119,29,7811,DB,3,nfl,Active,SF,,,3
