Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Mike N,3,2025-R1,2025,WR,Travis Hunter,$9.25,$9.25,$9.25,$9.25,,,$4.75,$9.25,,1
Mike N,1,2023-R4,2023,WR,Trey Palmer,$1.00,$1.00,,,,,$0.50,,,1
Mike N-IR,1,2023-R3,2023,WR,Tank Dell,$2.00,$0.00,,,,,$0.00,,,1
Mike N-TS,3,2025-R2,2025,RB,Bhayshul Tuten,$4.25,$4.25,$4.25,$4.25,,,$2.25,$4.25,,1
Mike N-TS,3,2025-R3,2025,RB,Jacory Croskey-Merritt,$2.50,$2.50,$2.50,$2.50,,,$1.25,$2.50,,1
Mike N-TS,3,2025-R2,2025,TE,Colston Loveland,$6.25,$6.25,$6.25,$6.25,,,$3.25,$6.25,,1
Mike N-TS,2,2024-R2,2024,WR,Troy Franklin,$5.00,$5.00,$5.00,,,,$2.50,$1.25,,1
Nick,2,UFA,2024,QB,Drew Lock,$4.00,$4.00,$4.00,,,,$2.00,$1.00,,1
Nick,2,UFA,2025,QB,Joe Milton,$8.00,$8.00,$8.00,,,,$4.00,$2.00,,1
Nick,3,UFA,2024,QB,Russell Wilson,$24.00,$24.00,$24.00,$24.00,,,$12.00,$24.00,,1
Nick,2,2024-R3,2024,RB,Bucky Irving,$3.00,$3.00,$3.00,,,,$1.50,$0.75,,1
Nick,1,2023-R3,2023,RB,Chase Brown,$3.00,$3.00,,,,,$1.50,,,1
Nick,2,2023-R1,2023,RB,DeVon Achane,$6.50,$6.50,$23.50,,,,$3.25,$6.00,,1
Nick,1,2022-R1,2022,RB,James Cook,$6.00,$23.50,,,,,$11.75,,,1
Nick,3,FM,2025,RB,Jordan Mason,$14.00,$14.00,$14.00,$14.00,,,$7.00,$14.00,,1
Nick,3,FM,2025,RB,Najee Harris,$10.00,$10.00,$10.00,$10.00,,,$5.00,$10.00,,1
Nick,3,FM,2025,RB,Rachaad White,$6.50,$6.50,$6.50,$6.50,,,$3.25,$6.50,,1
Nick,3,UFA,2024,RB,Zack Moss,$13.00,$13.00,$13.00,$13.00,,,$6.50,$13.00,,1
Nick,2,RFA,2025,TE,Trey McBride,$20.00,$20.00,$20.00,,,,$10.00,$5.00,,1
Nick,1,RFA,2024,WR,Davante Adams,$30.00,$30.00,,,,,$15.00,,,1
Nick,1,UFA,2024,WR,DeMario Douglas,$11.00,$11.00,,,,,$5.50,,,1
Nick,1,FM,2025,WR,Jalen Coker,$8.00,$8.00,,,,,$4.00,,,1
Nick,3,FM,2025,WR,Jauan Jennings,$15.00,$15.00,$15.00,$15.00,,,$7.50,$15.00,,1
Nick,1,RFA,2024,WR,Khalil Shakir,$12.25,$12.25,,,,,$6.25,,,1
Nick,2,2024-R3,2024,WR,Luke McCaffrey,$2.75,$2.75,$2.75,,,,$1.50,$0.75,,1
Nick,3,FM,2025,WR,Rashid Shaheed,$12.50,$12.50,$12.50,$12.50,,,$6.25,$12.50,,1
Nick-TS,3,2025-R1,2025,QB,Jaxson Dart,$7.00,$7.00,$7.00,$7.00,,,$3.50,$7.00,,1
Nick-TS,3,2025-R3,2025,QB,Riley Leonard,$2.50,$2.50,$2.50,$2.50,,,$1.25,$2.50,,1
Nick-TS,3,2025-R3,2025,QB,Will Howard,$3.00,$3.00,$3.00,$3.00,,,$1.50,$3.00,,1
Nick-TS,2,2024-R4,2024,WR,Roman Wilson,$4.00,$4.00,$4.00,,,,$2.00,$1.00,,1
Ruben,2,RFA,2025,QB,Brock Purdy,$39.00,$39.00,$39.00,,,,$19.50,$9.75,,1
Ruben,3,FM,2024,QB,Kyler Murray,$62.00,$72.25,$72.25,$72.50,,,$36.25,$72.50,,1
Ruben,1,RFA,2024,QB,Lamar Jackson,$54.00,$54.00,,,,,$27.00,,,1
Ruben,2,RFA,2025,RB,Chuba Hubbard,$33.00,$33.00,$33.00,,,,$16.50,$8.25,,1
Ruben,3,UFA,2024,RB,Jaleel McLaughlin,$4.50,$4.50,$4.50,$4.50,,,$2.25,$4.50,,1
Ruben,2,UFA,2023,RB,Jaylen Warren,$2.25,$2.25,$2.25,,,,$1.25,$0.50,,1
Ruben,3,UFA,2024,RB,Keaton Mitchell,$4.75,$4.75,$4.75,$4.75,,,$2.50,$4.75,,1
Ruben,3,2025-R4,2025,RB,Tahj Brooks,$1.75,$1.75,$1.75,$1.75,,,$1.00,$1.75,,1
Ruben,3,UFA,2024,TE,Cade Otton,$0.75,$0.75,$0.75,$0.75,,,$0.50,$0.75,,1
Ruben,3,UFA,2024,TE,Isaiah Likely,$9.75,$9.75,$9.75,$9.75,,,$5.00,$9.75,,1
Ruben,3,FM,2024,WR,Dontayvion Wicks,$12.50,$12.50,$12.50,$12.50,,,$6.25,$12.50,,1
Ruben,3,2025-R3,2025,WR,Jack Bech,$3.75,$3.75,$3.75,$3.75,,,$2.00,$3.75,,1
Ruben,1,2023-R3,2023,WR,Jalin Hyatt,$2.75,$2.75,,,,,$1.50,,,1
Ruben,1,RFA/Rstr2024,2024,WR,Justin Jefferson,$41.00,$20.50,,,,,$10.25,,,1
Ruben-IR,2,2024-R1,2024,RB,Jonathon Brooks,$7.75,$0.00,$7.75,,,,$0.00,$2.00,,1
Ruben-IR,2,2024-R4,2024,TE,Erick All,$1.25,$0.00,$1.25,,,,$0.00,$0.25,,1
Ruben-TS,3,2025-R3,2025,RB,Jarquez Hunter,$3.75,$3.75,$3.75,$3.75,,,$2.00,$3.75,,1
Ruben-TS,2,2024-R3,2024,RB,Ray Davis,$3.25,$3.25,$3.25,,,,$1.75,$0.75,,1
Ruben-TS,3,2025-R2,2025,WR,Luther Burden,$6.50,$6.50,$6.50,$6.50,,,$3.25,$6.50,,1
Ruben-TS,2,2024-R3,2024,WR,Malik Washington,$2.50,$2.50,$2.50,,,,$1.25,$0.75,,1
Tommy,2,2024-R1,2024,QB,J.J. McCarthy,$8.50,$8.50,$8.50,,,,$4.25,$2.25,,1
Tommy,1,RFA,2024,QB,Jordan Love,$37.75,$37.75,,,,,$19.00,,,1
Tommy,2,2024-R3,2024,QB,Spencer Rattler,$2.75,$2.75,$2.75,,,,$1.50,$0.75,,1
Tommy,3,2025-R1,2025,RB,Ashton Jeanty,$9.75,$9.75,$9.75,$9.75,,,$5.00,$9.75,,1
Tommy,1,FM,2024,RB,Austin Ekeler,$27.00,$27.00,,,,,$13.50,,,1
Tommy,2,UFA,2023,RB,Gus Edwards,$2.50,$2.50,$2.50,,,,$1.25,$0.75,,1
Tommy,3,UFA/Rstr2024,2024,RB,J.K. Dobbins,$12.25,$6.00,$6.00,$6.00,,,$3.00,$6.00,,1
Tommy,3,2025-R1,2025,RB,Kaleb Johnson,$8.00,$8.00,$8.00,$8.00,,,$4.00,$8.00,,1
Tommy,1,RFA,2024,RB,Rhamondre Stevenson,$27.00,$27.00,,,,,$13.50,,,1
Tommy,2,UFA,2025,RB,Travis Etienne,$26.50,$26.50,$26.50,,,,$13.25,$6.75,,1
Tommy,3,2025-R4,2025,RB,Trevor Etienne,$1.00,$1.00,$1.00,$1.00,,,$0.50,$1.00,,1
Tommy,2,2024-R3,2024,TE,Ben Sinnott,$3.25,$3.25,$3.25,,,,$1.75,$0.75,,1
Tommy,1,UFA,2022,TE,Dalton Schultz ,$6.50,$6.50,,,,,$3.25,,,1
Tommy,2,UFA,2025,TE,Evan Engram,$7.50,$7.50,$7.50,,,,$3.75,$2.00,,1
Tommy,2,2024-R2,2024,WR,Adonai Mitchell,$5.50,$5.50,$5.50,,,,$2.75,$1.50,,1
Tommy,1,UFA,2022,WR,Amari Cooper,$15.25,$15.25,,,,,$7.75,,,1
Tommy,4,FM/Rstr2025,2025,WR,Jameson Williams,$32.50,$81.25,$16.25,$16.25,$16.25,,$40.75,$36.50,,1
Tommy,2,2024-R2,2024,WR,Ricky Pearsall,$5.25,$5.25,$5.25,,,,$2.75,$1.25,,1
Tommy,2,2024-R2,2024,WR,Xavier Legette,$4.25,$4.25,$4.25,,,,$2.25,$1.00,,1
Tommy,1,2023-R2,2023,WR,Zay Flowers,$5.50,$5.50,,,,,$2.75,,,1
Tommy-Cut,3,FM,2024,RB,Zamir White,$27.00,$27.00,$27.00,$27.00,,,$13.50,$27.00,,1
Tommy-Cut,1,FM,2022,WR,Donovan Peoples-Jones,$4.50,$4.50,,,,,$2.25,,,1
