Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,full_name,Per_Year_M,2025,2026,2027,2028,Unnamed: 11,2025.1,2026.1,2027.1,1 or 2 years?,player_type
Matt,4.0,FM,2025.0,WR,WanDale Robinson,$8.75,$8.75,$8.75,$8.75,$8.75,,$4.50,$19.75,,1,  
Matt,3.0,2025-R2,2025.0,RB,Jayden Blue,$5.25,$5.25,$5.25,$5.25,  ,,$2.75,$5.25,,1,TS
Matt,3.0,2025-R4,2025.0,TE,Oronde Gadsden,$1.50,$1.50,$1.50,$1.50,  ,,$0.75,$1.50,,1,TS
Mike K,2.0,UFA,2025.0,QB,Justin Fields,$28.50,$28.50,$28.50,  ,  ,,$14.25,$7.25,,1,  
Mike K,1.0,RFA,2024.0,QB,Tua Tagovailoa,$40.00,$40.00,  ,  ,  ,,$20.00,,,1,  
Mike K,3.0,2025-R2,2025.0,QB,Tyler Shough,$4.00,$4.00,$4.00,$4.00,  ,,$2.00,$4.00,,1,  
Mike K,1.0,FM,2023.0,RB,Alexander Mattison,$9.25,$9.25,  ,  ,  ,,$4.75,,,1,  
Mike K,1.0,RFA,2024.0,RB,Derrick Henry,$35.00,$35.00,  ,  ,  ,,$17.50,,,1,  
Mike K,1.0,RFA,2024.0,RB,Josh Jacobs,$38.00,$38.00,  ,  ,  ,,$19.00,,,1,  
Mike K,1.0,2023-R2,2023.0,RB,Tank Bigsby,$3.75,$3.75,  ,  ,  ,,$2.00,,,1,  
Mike K,2.0,2024-R4,2024.0,RB,Will Shipley,$2.25,$2.25,$2.25,  ,  ,,$1.25,$0.50,,1,  
Mike K,1.0,UFA,2024.0,TE,Hunter Henry,$9.00,$9.00,  ,  ,  ,,$4.50,,,1,  
Mike K,3.0,FM,2024.0,TE,Pat Freiermuth,$11.00,$11.00,$11.00,$11.00,  ,,$5.50,$11.00,,1,  
Mike K,1.0,RFA,2024.0,WR,Cooper Kupp,$24.50,$24.50,  ,  ,  ,,$12.25,,,1,  
Mike K,2.0,UFA,2023.0,WR,Courtland Sutton,$9.25,$9.25,$9.25,  ,  ,,$4.75,$2.25,,1,  
Mike K,4.0,FM,2025.0,WR,Jakobi Meyers,$19.25,$19.25,$19.25,$19.25,$19.25,,$9.75,$43.25,,1,  
Mike K,1.0,FT,2025.0,WR,JaMarr Chase,$43.50,$43.50,  ,  ,  ,,$21.75,,,1,  
Mike K,1.0,UFA,2022.0,WR,Kendrick Bourne,$3.00,$3.00,  ,  ,  ,,$1.50,,,1,  
Mike K,3.0,2025-R1,2025.0,WR,Matthew Golden,$7.50,$7.50,$7.50,$7.50,  ,,$3.75,$7.50,,1,  
Mike K,2.0,2024-R4,2024.0,RB,Frank Gore,$1.25,$0.00,$0.00,  ,0,,$0.00,$0.00,,1,Cut
Mike K,3.0,2025-R2,2025.0,QB,Jalen Milroe,$4.50,$4.50,$4.50,$4.50,  ,,$2.25,$4.50,,1,TS
Mike K,3.0,2025-R4,2025.0,QB,Quinn Ewers,$1.25,$1.25,$1.25,$1.25,  ,,$0.75,$1.25,,1,TS
Mike K,3.0,2025-R3,2025.0,RB,Ollie Gordon,$3.25,$3.25,$3.25,$3.25,  ,,$1.75,$3.25,,1,TS
Mike K,3.0,2025-R2,2025.0,WR,Kyle Williams,$4.00,$4.00,$4.00,$4.00,  ,,$2.00,$4.00,,1,TS
Mike N,1.0,2023-R1,2023.0,QB,Bryce Young,$8.25,$8.25,$23.75,  ,  ,,$4.25,,,1,  
Mike N,2.0,2024-R1,2024.0,QB,Caleb Williams,$9.50,$9.50,$9.50,  ,  ,,$4.75,$2.50,,1,  
Mike N,1.0,RFA,2024.0,QB,Justin Herbert,$37.75,$37.75,  ,  ,  ,,$19.00,,,1,  
Mike N,2.0,FM,2025.0,QB,Kirk Cousins,$4.00,$4.00,$4.00,  ,  ,,$2.00,$1.00,,1,  
Mike N,2.0,RFA,2025.0,RB,Brian Robinson,$22.00,$22.00,$22.00,  ,  ,,$11.00,$5.50,,1,  
Mike N,2.0,FM,2025.0,RB,Deandre Swift,$22.00,$22.00,$22.00,  ,  ,,$11.00,$5.50,,1,  
Mike N,1.0,2023-R4,2023.0,RB,Deuce Vaughn,$1.50,$1.50,  ,  ,  ,,$0.75,,,1,  
Mike N,2.0,2024-R3,2024.0,RB,Isaac Guerendo,$2.50,$2.50,$2.50,  ,  ,,$1.25,$0.75,,1,  
Mike N,1.0,FM,2025.0,RB,Isaih Pacheco,$34.00,$34.00,  ,  ,  ,,$17.00,,,1,  
Mike N,1.0,UFA,2024.0,RB,Khalil Herbert,$2.50,$2.50,  ,  ,  ,,$1.25,,,1,  
Mike N,3.0,2025-R1,2025.0,RB,Omarion Hampton,$9.50,$9.50,$9.50,$9.50,  ,,$4.75,$9.50,,1,  
Mike N,3.0,FM,2024.0,TE,Jake Ferguson,$8.00,$8.00,$8.00,$8.00,  ,,$4.00,$8.00,,1,  
Mike N,3.0,FM,2024.0,TE,Mark Andrews,$24.50,$12.25,$12.25,$12.25,  ,,$6.25,$12.25,,1,  
Mike N,1.0,2022-R1,2022.0,WR,Chris Olave,$6.75,$18.00,  ,  ,  ,,$9.00,,,1,  
Mike N,1.0,UFA,2025.0,WR,Christian Kirk,$10.25,$10.25,  ,  ,  ,,$5.25,,,1,  
